FarmID,Year,Rainfall_mm,Temperature_C,Fertilizer_kg/ha,Pesticide_L/ha,SoilType,Yield_Tons/ha,Yield_Category
F001,2021,615.6204976082297,20.681082219735973,204.08986031040533,1.8184986079016199,Clay,4.392946654667318,Medium Yield
F002,2018,725.1662253565325,18.0,221.45693937244877,2.1272506396744233,Sandy,6.898591239316303,High Yield
F003,2022,750.0,19.449972511185482,194.2991121717908,2.601190354847165,Sandy,6.790070749907307,High Yield
F004,2019,615.6204976082297,23.01944493314841,168.47456892503237,1.3513217956541048,Sandy,2.904305263792577,Low Yield
F005,2021,563.6547528908685,21.87226742195389,199.36864411924216,2.115419115507714,Sandy,5.049192660444312,High Yield
F006,2024,699.7166676290055,23.24159528647222,250.0,2.4985425658142977,Loam,6.174876840745291,High Yield
F007,2017,668.6652533396249,18.493722494623622,203.37179590188836,2.4447374790625793,Sandy,7.1501528288823195,High Yield
F008,2021,538.0953101956707,21.46593949166089,230.09103100191757,1.4801487353286376,Loam,3.9557534312113085,Medium Yield
F009,2022,524.3878309254349,24.120452609699353,194.11146431488731,1.551629613526418,Loam,3.32144628539329,Medium Yield
F010,2019,668.6058134359001,19.003530816213335,217.14585092803992,2.269107734359099,Loam,6.266897194628107,High Yield
F011,2018,622.8077544770805,19.464369376948756,222.59611185474762,2.915062892037143,Clay,6.857006276838293,High Yield
F012,2022,634.8694936741629,23.35845906033389,162.4087261929472,1.7895170911023024,Loam,4.0919959237503765,Medium Yield
F013,2022,454.9705491570237,24.72588045912062,150.5145147815407,1.864832003495656,Loam,2.5770593065485246,Low Yield
F014,2017,750.0,18.530913940711724,239.63014414690085,3.0,Clay,7.6431395869376235,High Yield
F015,2020,535.6150686438318,22.806345412792556,192.5027606439585,2.201561700356284,Clay,4.385432126525134,Medium Yield
F016,2019,687.5057485291736,24.012533954825116,189.85969371397542,2.135553602628461,Clay,5.106508103164881,High Yield
F017,2016,705.9778299207202,18.837795249534544,250.0,2.742914898963329,Sandy,7.026260635443968,High Yield
F018,2022,579.0474334256126,20.623475732207527,216.01605879024802,2.9113151434214046,Clay,6.054140702235684,High Yield
F019,2020,628.3461616205601,21.286152700707426,215.07547285607222,2.390042358515339,Clay,6.4112967154446325,High Yield
F020,2016,608.7048838596022,24.63851809159418,181.50628896858058,1.681043095132785,Loam,3.254429724426282,Medium Yield
F021,2019,652.0625268323363,20.901826395557087,165.96242445164611,2.060343691278249,Clay,5.248687842965395,High Yield
F022,2015,666.2068206446938,21.634412160438714,222.59551197186443,2.3490049312558385,Sandy,6.174706396070493,High Yield
F023,2024,436.65632799764563,22.47900451484786,163.72330418038487,1.2028624111474209,Clay,3.3713001307837978,Medium Yield
F024,2020,602.9039852934314,23.84771390583314,128.96541869017716,1.2302861830477982,Sandy,3.0497295625756173,Medium Yield
F025,2023,750.0,18.0,213.82387303319135,2.6880848083177566,Clay,7.893010059976613,High Yield
F026,2015,707.517773077087,22.489492714674046,215.82843782682068,2.2720029388101026,Clay,5.099815347626086,High Yield
F027,2024,525.2053976045078,25.328180860699053,186.0990959754349,1.9261164812741156,Clay,3.564975048982454,Medium Yield
F028,2017,750.0,18.3631014898601,250.0,2.964549674972587,Clay,7.977522198547546,High Yield
F029,2021,750.0,18.372253784227826,250.0,3.0,Sandy,7.792516107732762,High Yield
F030,2018,557.6794002801425,20.000286096759655,209.12737716802383,2.126058818981779,Sandy,5.3497607216425855,High Yield
F031,2023,728.216665362179,18.0,250.0,2.536710367512116,Loam,7.295818059136038,High Yield
F032,2017,590.5876921454875,22.294806513982014,167.1360414320956,1.73750473557915,Sandy,3.1322426500482763,Medium Yield
F033,2019,598.9276418217333,20.14344277165036,163.35683585458062,1.8436441942381847,Clay,3.6732281155530915,Medium Yield
F034,2017,615.7857397306475,19.66076527335848,195.13963084326994,1.8704071356077567,Loam,6.202146979836628,High Yield
F035,2021,666.617793759278,18.702883529183257,220.68065340375415,2.627556941326248,Loam,7.079966853429836,High Yield
F036,2019,750.0,22.336831253974264,228.69403741134104,2.465999844909195,Loam,7.137945751268555,High Yield
F037,2023,625.3260052387105,24.81040939589574,210.2702263433805,1.7661711674545388,Clay,4.427048762733141,Medium Yield
F038,2021,607.8317169488711,19.675184618743106,250.0,2.5884394650629217,Sandy,7.326620592565758,High Yield
F039,2016,588.0390605128023,22.244752480056,239.8358318511975,2.7065647302166664,Clay,7.105570692605077,High Yield
F040,2018,729.2775829154214,20.569092787620804,250.0,2.7803411936242344,Loam,7.613809965325685,High Yield
F041,2023,664.1692780830518,18.0,236.39849756416828,2.4921715126923925,Clay,6.712043906683661,High Yield
F042,2016,648.1943557042996,22.083772347995414,217.99993087748723,2.7115695060907927,Clay,6.013929528285372,High Yield
F043,2024,619.3657085940786,22.21203173701883,172.85405688146207,2.380941013394127,Sandy,5.484119728618728,High Yield
F044,2023,634.4254034506121,22.27381233008789,196.1655004117233,1.611861792213138,Sandy,4.233696599370458,Medium Yield
F045,2024,615.6204976082297,18.0,234.09477532597055,2.7210861847643084,Loam,7.640800654746671,High Yield
F046,2019,750.0,19.090622927900753,250.0,3.0,Clay,7.841983020531904,High Yield
F047,2016,494.9136145430851,20.251901105007263,193.1453154881827,1.8044776991435783,Clay,3.7035258484247944,Medium Yield
F048,2018,400.0,23.17755860385506,158.45265041763733,1.516423166427117,Sandy,3.832183162066361,Medium Yield
F049,2021,671.1506994009603,20.93226123567299,211.12586889036928,1.9653285879035252,Clay,4.91368252151736,Medium Yield
